symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time,expiry_date
NIFTY2320917650PE,,2023-02-03,NSE,FO,,buy,false,50.000000,128.600000,87146145,1100000017361158,2023-02-03T09:44:37,2023-02-09
NIFTY2320917650PE,,2023-02-03,NSE,FO,,sell,false,50.000000,142.350000,87946435,1100000032513967,2023-02-03T10:23:55,2023-02-09
NIFTY2320917600CE,,2023-02-03,NSE,FO,,buy,false,50.000000,141.950000,2339349,1000000032837818,2023-02-03T10:45:25,2023-02-09
NIFTY2320917600CE,,2023-02-03,NSE,FO,,sell,false,50.000000,150.000000,2426351,1000000033169953,2023-02-03T10:49:21,2023-02-09
NIFTY2320917750CE,,2023-02-03,NSE,FO,,buy,false,50.000000,147.600000,6258482,1000000094292766,2023-02-03T14:25:40,2023-02-09
NIFTY2320917750CE,,2023-02-03,NSE,FO,,sell,false,50.000000,174.400000,6602188,1000000096929781,2023-02-03T14:32:42,2023-02-09
